participant_id,response_time_bar_geo,response_time_bar_icon,response_time_bar_color,response_time_pie_geo,response_time_pie_icon,response_time_pie_color
60ef392879a8e9f5ffa48f4f,1920.4,1851.15,1640.15,,,
5bb511c6689fc5000149c703,,,,2918.2105263157896,2540.2631578947367,2655.15
5f91109727479322caa512ad,2043.8,2072.55,1912.9,,,
5f2f5900a85e6b3413159dca,,,,2680.9473684210525,3014.6111111111113,3084.0555555555557
5ba988cc4a16920001d48564,,,,2118.55,2735.315789473684,2161.5
5bd7af7ce6fce60001d36051,2094.6,3126.95,2341.35,,,
5ea995fdfb69010bff748ac0,,,,1924.0,2154.7,2105.9
5ec50e491b50db4320ee7963,2224.65,2731.0,1967.7,,,
5f6918108e4df1104abab8d0,2444.7,2145.95,2321.2,,,
600313fd4a113e381296a3db,2416.7,2234.35,2093.3,,,
5ecc192d07b7e27e27e94926,2378.6,2847.05,2265.85,,,
61253266fba5c5a6e973444b,,,,2533.2,2806.65,2930.0
616f6ed2ead3bb59cd1397ac,2419.25,2413.8947368421054,2419.1,,,
5f9aba6600cdf11f1c9b915c,3161.95,3233.6315789473683,3007.25,,,
5fe15e01e9df3d3da41eb15b,,,,3162.6315789473683,3013.75,3124.3
5fdfd04b9bf07d83b2e5f780,1982.45,2619.15,2279.25,,,
5fbb7aae04da87a3fe5f129c,2792.7,3153.3333333333335,2491.5789473684213,,,
60f8b73307416902fdc94fd7,2668.2631578947367,2915.85,2264.25,,,
613d17189f701e7a75b88d68,2514.5263157894738,2360.3,2076.5,,,
6170a0c73272afad9eff9da9,2824.2,2792.7,2317.2,,,
5e0fdde8b638537085d51b6c,,,,3459.8,3380.8,3474.1666666666665
5cfba9da04fd2c001941a7e3,2400.684210526316,2435.35,2327.6,,,
5f3aee04e30eac7cb73b416e,2410.6,2514.0,2826.35,,,
631a05d1ec4f85ab21313202,1872.25,1835.35,1640.1,,,
5f46f9c63972600db44c2df5,,,,2255.0,2067.7,1774.7
6052644fa788f92c32ff9951,,,,2708.2,2900.8,2811.3
5f4e22f75080c69f541d9500,,,,2909.842105263158,2987.3684210526317,2499.7
5ffdf54a500d7740e02f3639,2682.1,2543.9,2078.9,,,
5f6214a59413141f7cb2508c,,,,2558.85,2899.4444444444443,2931.6
5eb2a99596070102a65d32c7,,,,2198.0526315789475,2706.75,2322.3
60ddfb3db6a71ad9ba75e387,2621.0,2740.7,2528.1,,,
60c3f667587222e37f56744c,,,,3098.842105263158,3368.1052631578946,3059.7368421052633
617287bc1a42a5bc56381cec,3046.0,2917.6,2583.25,,,
6156489cc3e1d4ef75f32ac7,,,,1793.25,2393.7894736842104,2470.7
5ee78cdd0103130133fdb204,3037.4,3101.8,3059.684210526316,,,
60ee39ffcc518d78a4cf6e01,143.65,461.25,1493.7,,,
5ed013f88fce6e0d858b732e,2760.7,2493.5263157894738,2580.25,,,
5f411fbace2acb2737fa819f,2999.7368421052633,2778.7368421052633,2396.0,,,
