Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
640d032a6e965a95f81a166b,c822f50c-c155-4186-a0ca-57f7aec61d4e,APPROVED,2023-03-11T22:39:54.706000Z,2023-03-11T22:48:43.934000Z,2023-03-11T22:48:44.473000,2023-03-11T22:48:44.407786Z,530,C18N4HK9,45,"Portuguese, English",34,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
640d0330fe7406ac8df4a73f,1225f945-3c88-40ae-9d72-bea762df9cf6,APPROVED,2023-03-11T22:39:44.809000Z,2023-03-11T22:45:52.786000Z,2023-03-11T22:45:53.460000,2023-03-11T22:45:53.388551Z,368,C18N4HK9,150,"English, Polish",20,Female,White,Poland,Poland,Poland,Polish,Yes,Part-Time
640d0353935e470b64f4a725,7339a1d4-aada-41bf-8f31-df477d97bef8,APPROVED,2023-03-11T22:40:22.094000Z,2023-03-11T22:49:47.396000Z,2023-03-11T22:49:47.912000,2023-03-11T22:49:47.840033Z,566,C18N4HK9,124,"Portuguese, English",21,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Other
640d035934c1211b67a9ebe1,c0f3a9d8-7dd5-49aa-992d-3d2d117a35df,APPROVED,2023-03-11T22:40:25.200000Z,2023-03-11T22:48:31.151000Z,2023-03-11T22:48:31.651000,2023-03-11T22:48:31.589027Z,486,C18N4HK9,290,"Portuguese, English",24,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Unemployed (and job seeking)
640d037c68831571e472200f,a9ca0c1e-a59c-43b9-8795-79bce64ad14c,APPROVED,2023-03-11T22:41:04.668000Z,2023-03-11T22:50:56.826000Z,2023-03-11T22:50:57.281000,2023-03-11T22:50:57.222827Z,593,C18N4HK9,104,"Czech, English, Polish, Slovak",21,Female,White,Czech Republic,Czech Republic,Czech Republic,Czech,No,Full-Time
640d0562545d9b01b375635f,85dc914a-3ecc-44b3-954d-b45681febb16,APPROVED,2023-03-11T22:49:18.156000Z,2023-03-11T23:02:56.683000Z,2023-03-11T23:02:57.156000,2023-03-11T23:02:57.074050Z,819,C18N4HK9,45,"Nepali, Hindi, English",26,Male,Asian,Nepal,Australia,Nepal,Nepali,No,Full-Time
640d0b62cd8f2d791e8c669f,97ea41c5-2a01-44a2-8d7c-797dcb5fb727,APPROVED,2023-03-11T23:14:44.443000Z,2023-03-11T23:24:11.361000Z,2023-03-11T23:24:11.944000,2023-03-11T23:24:11.871103Z,567,C18N4HK9,246,"Polish, English",22,Female,White,Poland,Poland,Poland,Polish,Yes,Part-Time
640d0b7d8737054fa92becfa,5ef08532-f678-4217-b130-555647fea1e1,APPROVED,2023-03-11T23:15:09.039000Z,2023-03-11T23:22:52.389000Z,2023-03-11T23:22:52.939000,2023-03-11T23:22:52.879381Z,464,C18N4HK9,436,"English, French, Portuguese, Spanish",23,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Part-Time
640d0b7f4b3ad0eecb1a16cc,4ac72177-ab61-40ac-96f7-b30995343665,APPROVED,2023-03-11T23:15:11.867000Z,2023-03-11T23:18:27.305000Z,2023-03-11T23:18:27.779000,2023-03-11T23:18:27.707543Z,196,C18N4HK9,1,"Dutch, English",29,Male,Asian,Netherlands,Netherlands,Netherlands,Dutch,No,Unemployed (and job seeking)
640d0b7fc9bed805a6ee8304,95e221ae-0602-407b-851c-9c9e8c992cd3,APPROVED,2023-03-11T23:18:34.287000Z,2023-03-11T23:24:30.011000Z,2023-03-11T23:24:32.684000,2023-03-11T23:24:32.611830Z,356,C18N4HK9,517,"English, Spanish, Portuguese",27,Male,White,Portugal,Portugal,Portugal,English,Yes,Other
